SITE,B.,BC,BF,BT,CG,CH,CK,CR,CT,D.,DU,GB,GC,GH,GP,GT,H.,HC,HM,J.,LB,LR,MA,MG,MP,PW,R.,RB,RG,RK,RN,S.,SC,SG,SK,SL,SM,SN,ST,SW,T.,TC,WE,WH,WP,WR,WW,Habitat,Conifer_cover,Broadleaf_cover,Tall_shrub_cover,Con_Tall_shrub_cover,Broad_Tall_shrub_cover,Shrub_cover,Conifer_shrub_cover,Broadleaf_shrub_cover,Rhodo_cover,Dwarf_shrub_cover,Herb_cover,Bryo_cover,Litter_cover,Bare_cover,Water_cover,Deadwood_cover,Conifer_height,Broadleaf_height,Tall_shrub_height,Shrub_height,Rhodo_height,Dwarf_shrub_height,Herb_height,Bryo_height,Litter_height,Conifer_understory_cov,Broadleaf_understory_cov,Understory_height,Ground_cover,Ground_height
BellaveenyForest,0,0,0,0,0,1.610498169,0,0.17894757,2.62300958,0,0,0,4.065636193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332256566,0,0,0,0,0,0,0,0.835083514,0,0,0,0,0,0,0,0,0,0,0.20375486,0.040750972,Forest,84.0625,0.09375,2.145833333,2.084583333,0.06125,0.947916667,0.829166667,0.11875,0.520833333,0.666666667,28.06177083,18.40528646,44.48322917,1.215104167,0.5853125,6.576302083,13.75,6,3.7125,1.25,1.59,19.25,36.79166667,8.729166667,22.15625,2.91375,0.18,0.796716457,47.13372396,23.90352176
BellaveenyIntact,0,0,0,0,0.020560428,0,0,0,0,0,0,0,0,0,0.010280214,0,0.03710556,0,0,0,0,0,0.010280214,0,1.11059157,0,0,0,0.098660787,0,0,0.936587272,0,0,0,0.010280214,0.020560428,0,0,0,0,0,0.010280518,0,0,0.012055171,0,Intact,0,0,0,0,0,0.291666667,0,0.216666667,1.003333333,20.04297815,56.97541061,12.67039661,4.725603724,2.475737689,3.109,0,0,0,0,0.8,1.2,11.90666667,25.19833333,5.845,2.726666667,0,0.216666667,0.508205438,89.68878537,42.46302725
BellaveenyRestored,0,0,0,0,0,0,0.026183315,0,0.033935894,0,0,0.06069071,0,0,0,0,0,0,0,0,0,0,0,0,2.961703998,0,0,0,0,0,0,0.057061742,0.335810815,0,0,0.010536774,0,0,0,0,0,0,0,0,0,0.407648216,0,Restored,0,0,0.97979798,0.97979798,0,1.767676768,1.306969697,0.460731818,0.318181818,32.17556273,40.27797303,5.51244447,5.992968242,1.643056304,0.338072727,14.37772727,0,0,3.1375,1.222222222,1.180555556,38.65782828,33.98106061,7.079545455,5.830808081,2.286767677,0.460731818,1.926217837,77.96598023,34.47617774
CorravokeenForest,0,0.041348165,0.06742575,0.133068655,0,1.936749074,0,0.302618897,2.528382794,0,0,0,3.859125188,0,0,0,0,0,0,0.039997154,0,0.060523449,0,0,0,0,0.40455502,0,0,0,0,0,0,0,1.331502108,0,0,0,0,0,0,0.134852018,0,0,0,0.206742734,0.248091247,Forest,74.6875,0.125,1.5625,1.325,0.2375,0.53125,0.50625,0.0875,0,3.65625,42.03125,9.1875,42.875,0.59375,0.15625,1.625,10.59375,8.25,3.8125,1.495238095,0,47.05555556,36.75,10.96875,17.875,1.83125,0.325,1.399292561,54.875,33.97547694
CorravokeenIntact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.078724114,0.033226563,0,0.066453126,0.031681333,0,0,0.887666112,0.109023849,0,0,0,0,0.063362666,0,0,0,0,0,0,0,0,0,Intact,0,0.075,0.033333333,0.033333333,0,0.118333333,0.058333333,0.06,0.115,31.62527409,45.16639687,8.475373083,8.247051823,1.106255462,5.4188,0,0,7,2.6,1.2625,1.0875,23.445,26.98,8.14,6.62,0.091666666,0.06,1.633084508,85.26704404,36.49702357
CorravokeenRestored,0,0,0,0,0.010724141,0.168079342,0,0,0.101305513,0,0,0,0,0.060981544,0,0,0,0,0,0,0,0.287360892,0.039534819,0,3.307994948,0,0,0.375325182,0,0,0,0.012575849,0,0,0.066764502,0.021448282,0,0.010724141,0,0.11191328,0,0,0,0,0.010724711,0.8614076,0.253953496,Restored,0.181818182,0,6.340909091,4.666666667,1.674242424,16.04545455,3.620454545,12.425,0.257575758,37.78787879,39.53787879,9.96969697,2.446969697,1.653030303,2.015151515,6.589393939,5.7,0,3.52037037,1.168939394,1.00952381,44.83333333,55.13636364,7.772727273,7.204545455,8.287121212,14.09924242,2.053310952,87.29545455,35.40347566
DerryForest,0,0,0,0,0,1.1588375,0,0.1738275,4.076725,0,0,0,1.656175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32275,0,0,0,0,0,0,0,0.75324625,0,0,0,0.0765825,0,0,0.1291,0,0,0.03825625,0.07917,0.118755,Forest,75.78125,0,1.28125,1.28125,0,0.65625,0.65625,0,0.03125,3.34375,24.1875,28.625,41.46875,0.21875,0.8125,2.25,13.71875,0,4.427777778,1.45,2.6,24.17857143,33.96428571,15.625,17.90625,1.9375,0,0.888187102,56.15625,25.20835072
DerryIntact,0,0,0,0,0.022024197,0,0,0,0,0,0,0,0,0,0.033001321,0,0,0.072674505,0,0,0,0,0,0,2.841067336,0,0,0,0.036478242,0,0,0.503840492,0,0,0,0,0.033001321,0,0,0,0,0,0,0,0,0,0,Intact,0,0,0,0,0,0.027777778,0,0.027777778,0,30.47748188,45.14377661,9.931654764,7.979501272,1.917445739,4.551111111,0,0,0,0,1.7,0,22.95,28.73888889,5.561111111,4.966666667,0,0.027777778,0.897040408,85.55291325,35.83133663
DerryRestored,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014655733,0,0,0.037367508,0.029423838,0,3.680008469,0,0,0,0.009108846,0,0,0.353491414,0.338314891,0,0,0.047529708,0.027327618,0.117693115,0,0,0.009108879,0,0,0,0,0.562060292,0,Restored,0,0,0.650326797,0.163398693,0.375816993,0.910675381,0.910675381,0,0.174291939,34.5524776,34.35956621,5.887959453,8.015507403,1.773727039,6.222222222,9.25,0,0,2.964571429,0.911565657,0.75,24.79030501,20.33061002,4.260893246,7.869281046,1.074074074,0.375816993,1.788158858,74.80000326,32.20750615
EskeraghForest,0,0.053858918,0,0,0,1.182520137,0,0.078834243,2.600017626,0,0,0,2.773354997,0,0,0.078834364,0,0,0,0.052098417,0,0.157668533,0,0.208392966,0,0,1.31738229,0,0,0,0,0,0,0,1.024849886,0,0,0,0.052098354,0,0,0.26347536,0,0,0.05205089,0.59244542,0.161577436,Forest,69.94791667,0.3125,9.947916667,9.708333333,0.239583333,6.583333333,6.083333333,0.5,2.53125,6.702916667,45.55091667,10.83588333,33.37441667,0.08895,1.192083333,2.387833333,14.52083333,6.5,3.9625,1.239583333,2.304761905,51,41.30208333,11.66666667,16.15625,15.79166667,0.739583333,1.315974596,63.08971667,35.46111137
EskeraghIntact,0,0,0,0,0.064795664,0,0,0,0,0,0,0,0,0,0,0,0,0.010799164,0,0,0,0,0.065113005,0,2.676236701,0,0,0.06956521,0,0.108096088,0,0.937599096,0,0,0,0,0.116204976,0.032556045,0,0,0.065113005,0,0,0,0,0.037990802,0,Intact,0,0,0,0,0,0.85,0.062222222,0.787777778,0,27.76340451,42.88801548,17.46867355,5.736641805,2.540223034,3.615555556,0,0,0,0,0.905,0,20.4691358,25.46296296,6.444444444,5.780864198,0.062222222,0.787777778,0.44046315,88.12009354,33.08374901
EskeraghRestored,0,0,0,0,0.014156319,0,0,0,0,0.062540791,0,0,0,0,0,0.045595328,0,0,0,0,0,0.401921111,0,0,3.305491475,0,0.036779949,0.164163177,0,0,0,0.319424583,0.077519075,0,0,0.02831299,0,0,0,0.210447968,0,0,0,0,0,0.496586683,0.764613632,Restored,0,1.75,7.626262626,0.424621212,7.202449495,19.3459596,3.903409091,15.44295455,0.045454545,42.44221568,39.89675945,4.508133771,7.243220962,1.257361077,1.485151515,3.200606061,0,6.7,2.989393939,1.082020202,1.35,48.46464646,36.7020202,5.275252525,9.727272727,4.328030303,22.64540405,1.957988057,86.8471089,39.30374194
OwenanirraghForest,0,0,0,0,0,1.25490725,0,0.188239895,2.483289774,0.069902315,0,0,4.69067178,0,0,0,0,0,0,0,0,0.06274596,0,0,0,0,0.978632381,0,0,0,0,0,0,0.041465802,0.62746124,0,0,0,0,0,0,0.209705983,0,0,0.124284558,0.600138274,0.171466068,Forest,70.625,0.104166667,4.6875,4.659375,0.028125,2.239583333,2.193333333,0.04625,0,4.701223958,39.26497396,11.55486979,41.33802083,0.754947917,0.59375,1.788385417,12.04166667,5.75,3.25,1.133333333,0,42.75,38.34375,7.614583333,18.07291667,6.852708333,0.074375,1.076695462,55.52106771,30.57136278
OwenanirraghIntact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020513867,0,0.010256611,0,0,0,1.48329196,0,0,0.066070235,0,0,0.033979568,1.27442275,0.018721619,0,0,0,0,0,0,0.024054541,0,0,0,0,0,0.036082134,0,Intact,0,0,0,0,0,0.189393939,0.002727273,0.186666667,0,26.18382576,55.37787879,13.14090909,2.836212121,1.381628788,1.290909091,0,0,0,0,0.725,0,19.07954545,27.55681818,8.392045455,4.880681818,0.002727273,0.186666667,0.423947773,94.70261364,41.44537866
OwenanirraghRestored,0,0,0,0,0,0,0,0,0,0.021002379,0,0,0,0,0,0,0,0,0,0,0.011506122,0.425404578,0,0,3.162945925,0,0,0.042976629,0,0,0,0.152180112,0.244891292,0,0,0,0.135651607,0,0,0,0,0,0,0,0,0.152180835,0,Restored,0.05,0,2.145,2.145,0,5.13,4.5545,0.5155,0.2,34.62377928,38.17775261,11.66711069,4.848409664,1.092490297,2.78004556,6.7255535,6.25,0,3.5484375,1.154375,0.615,33.79,31.8675,7.775,6.9275,6.6995,0.5155,1.976257163,84.46864258,33.05923089
ShanvolahanForest,0,0,0,0,0,1.251202324,0,0.13170579,4.198990867,0,0,0,3.330217475,0,0,0,0,0,0,0.043519402,0,0,0,0,0,0,0.733639131,0,0,0,0,0,0,0,0.658531279,0.130557779,0.043519402,0,0.087038856,0.044989796,0,0.146727001,0,0,0.043479623,0.539877788,0.269939002,Forest,64.21875,0.4375,8.9375,8.40625,0.53125,7.09375,5.84375,1.25,0.03125,7.75,38.875,13.90625,37.09375,0.46875,0.15625,2.5,15.21875,7.333333333,4.231944444,1.329047619,2.3,52.47619048,40.28125,6.125,12.5,14.25,1.78125,1.395383304,60.53125,29.15373322
ShanvolahanIntact,0,0,0,0,0,0,0,0,0,0,0.049431979,0,0,0,0,0,0,0,0,0,0,0,0.038074809,0,2.105960145,0,0,0,0.078475387,0,0,0.748872878,0.041460985,0,0,0.01135717,0,0,0,0,0,0,0,0,0,0,0,Intact,0,0,0.068181818,0,0.068181818,0.060606061,0.060606061,0,0,25.71952164,34.17185174,15.00757786,10.38836001,1.453581069,13.86757576,0,0,0,3,0.825,0,17.21464646,22.35858586,8.684343434,6.747474747,0.060606061,0.068181818,1.406566325,74.89895124,27.42944466
ShanvolahanRestored,0.041392311,0.013467556,0,0,0,0,0,0,0,0.02096317,0,0,0,0,0,0,0,0,0,0,0,1.151879361,0,0,1.601894585,0,0.04847249,0.073980461,0,0,0,0.161950892,0.020963146,0,0.057863442,0.068358702,0,0.143222014,0,0.232281757,0,0,0,0.081802273,0,0.654488314,0.503322365,Restored,0,1.406666667,14.76714286,0.5022,14.31494286,20.14904762,2.196878571,17.97148571,0.780952381,35.52664714,44.81107429,7.538110952,3.447752381,2.404376667,1.473142857,4.3257,0,5.9,2.709333333,1.255952381,1.2,52.20666667,47.18,7.502380952,10.50142857,2.699078571,32.28642857,1.735791293,87.87583238,37.86021779
